lon,lat,country
-69.07335,-85.67812,
-69.06894,-85.67662,
-69.08507,-85.6763,
-68.82106,-85.68258,
-68.98124,-85.6727,
-69.0633,-85.67671,
-69.07178,-85.67838,
-68.98393,-85.67437,
-69.07656,-85.67909,
-68.75488,-85.68174,
-68.75044,-85.67993,
-69.0677,-85.67811,
-69.07009,-85.67872,
-69.08265,-85.6767,
-68.74265,-85.67923,
-68.76504,-85.6819,
-69.06969,-85.67856,
-69.08035,-85.6767,
-68.7891,-85.68161,
-69.06472,-85.67792,
-69.06783,-85.67845,
-68.97933,-85.67442,
-68.82981,-85.68292,
-68.75014,-85.67985,
-69.06646,-85.67852,
-69.0804,-85.67706,
-69.06912,-85.67691,
-69.08425,-85.67633,
-69.06499,-85.67781,
-69.06468,-85.67838,
-68.75794,-85.68217,
-68.80952,-85.6815,
-69.06797,-85.67872,
-69.07393,-85.67711,
-68.74666,-85.68201,
-69.04883,-85.67746,
-69.06165,-85.67734,
-68.73924,-85.67554,
-69.08776,-85.67467,
-69.06841,-85.67839,
-69.06034,-85.67736,
-69.08566,-85.67623,
-69.06362,-85.67808,
-69.07012,-85.67808,
-68.7,-85.63333,
-68.7,-85.63333,
-69.04611,-85.66043,
-69.04448,-85.6578,
-68.33928,-85.68836,
-68.35014,-85.6881,
-68.96201,-85.69913,
-68.7,-85.63333,
-68.7,-85.63333,
-69.02361,-85.65818,
-68.7,-85.63333,
-69.00393,-85.69784,
-68.96758,-85.69922,
-68.35024,-85.68809,
-68.34139,-85.68822,
-69.05721,-85.65905,
-68.35374,-85.68066,
-69.09557,-85.69004,
-68.72953,-85.69737,
-69.0752,-85.69471,
-68.92607,-85.68602,
-69.02217,-85.68767,
-68.9618,-85.69914,
-68.54123,-85.66605,
-69.02725,-85.69049,
-68.94273,-85.68586,
-68.7,-85.63333,
-69.09884,-85.68994,
-69.01495,-85.6927,
-68.7,-85.63333,
-68.3393,-85.68828,
-68.33979,-85.68838,
-69.05137,-85.68789,
-68.91388,-85.68994,
-68.36274,-85.68764,
-69.05071,-85.64599,
-68.34962,-85.68779,
-68.73391,-85.67376,
-68.7591,-85.67129,
-68.96915,-85.69895,
-69.05878,-85.69224,
-68.47189,-85.69992,
-68.39884,-85.58234,
-69.0141,-85.69266,
-68.62513,-85.67069,
-69.08121,-85.69187,
-69.07431,-85.69465,
-69.09422,-85.69061,
-69.09803,-85.69025,
-68.82044,-85.69865,
-68.84543,-85.68991,
-68.33969,-85.68834,
-68.34102,-85.68832,
-68.54934,-85.70003,
-69.01524,-85.69516,
-68.94491,-85.69025,
-68.51262,-85.70188,
-68.91223,-85.69048,
-69.0905,-85.69023,
-69.0472,-85.69321,
-68.34103,-85.68839,
-68.94836,-85.68977,
-69.02152,-85.6932,
-69.09059,-85.69055,
-68.90476,-85.68776,
-68.95035,-85.68684,
-69.09772,-85.69376,
-69.08598,-85.69206,
-68.36234,-85.68768,
-68.52591,-85.68291,
-68.37471,-85.68693,
-68.7,-85.63333,
-68.7,-85.63333,
-69.01361,-85.69246,
-68.52405,-85.69088,
-69.09583,-85.69246,
-69.09991,-85.69009,
-68.58767,-85.65111,
-68.40572,-85.67015,
-68.2347,-85.68217,
-69.03311,-85.67654,
-69.03787,-85.67609,
-68.79651,-85.68261,
-69.06126,-85.678,
-68.63396,-85.65804,
-67.92851,-85.67131,
-69.05905,-85.67856,
-68.35643,-85.66111,
-68.17227,-85.65807,
-68.4523,-85.65992,
-68.06133,-85.66861,
-68.60045,-85.65107,
-69.06662,-85.67874,
-68.16706,-85.65917,
-69.04709,-85.6771,
-68.33267,-85.66132,
-69.0336,-85.67621,
-69.03719,-85.67642,
-68.58636,-85.65116,
-68.11959,-85.66126,
-68.17912,-85.68203,
-68.68308,-85.66528,
-68.22148,-85.67238,
-68.28574,-85.66673,
-68.37022,-85.59803,
-69.04928,-85.67676,
-69.0604,-85.67847,
-69.05982,-85.67876,
-68.54666,-85.66251,
-68.5441,-85.65685,
-68.26602,-85.67713,
-69.06528,-85.67866,
-69.05071,-85.67787,
-68.32525,-85.66443,
-68.46076,-85.6698,
-68.30703,-85.66561,
-68.66452,-85.65045,
-68.61946,-85.65128,
-69.06104,-85.67866,
-68.60027,-85.65753,
-68.57543,-85.65535,
-68.23216,-85.65847,
-69.06014,-85.67866,
-68.31586,-85.55819,
-68.23017,-85.66084,
-68.60229,-85.65355,
-68.61913,-85.65141,
-69.06128,-85.67863,
-68.48118,-85.65606,
-68.58282,-85.61578,
-69.04703,-85.69314,
-98.95,30.33333,United States
-103.08333,40.95,United States
117.0,34.7,China
-108.1,33.66667,United States
122.08333,-29.11667,Australia
-99.91667,39.35,United States
-64.43333,48.85,Canada
-102.57667,33.73,United States
-100.73167,36.35333,United States
-89.85,37.73333,United States
-84.23333,35.05,United States
43.73333,48.2,Russia
87.18333,53.35,Russia
144.66667,-34.78333,Australia
-102.38333,40.45,United States
75.5,20.13333,India
-105.0,33.2,United States
-84.5,34.5,United States
-44.98333,-18.94167,Brazil
-100.66667,37.86667,United States
-100.66667,37.86667,United States
141.855,-35.90667,Australia
-111.0,32.2,United States
-104.06667,41.18333,United States
138.0,-30.41667,Australia
-89.1,44.21667,United States
118.65662,-33.58316,Australia
140.91667,-35.38333,Australia
-105.1,32.66667,United States
-115.78333,34.0,United States
-98.91667,29.68333,United States
-45.0,-17.3,Brazil
-60.58333,-27.46667,Argentina
-80.0,40.43333,United States
120.73333,-26.26167,Australia
-102.76667,33.28333,United States
-102.9,33.26667,United States
-101.78333,34.11667,United States
-101.78333,34.11667,United States
-101.75667,34.125,United States
-101.70417,34.1875,United States
-101.70558,34.18513,United States
-4.05,48.66667,France
0.3,28.01667,Algeria
0.6665,28.29767,Algeria
0.66667,28.29833,Algeria
0.5,28.3,Algeria
0.21667,27.89167,Algeria
0.70617,27.37033,Algeria
-94.71667,38.18333,United States
-86.31667,41.33333,United States
21.54983,50.90333,Poland
42.8325,49.66883,Russia
137.93333,-25.78333,Australia
9.53783,20.537,Niger
-104.5,36.5,United States
-104.5,36.5,United States
-110.36667,38.17,United States
79.7,52.1,Russia
54.16667,62.2,Russia
-99.95,31.66333,United States
136.85867,-29.83167,Australia
137.85,-27.76667,Australia
-103.5,34.06667,United States
-103.5,34.06667,United States
-103.41667,34.1,United States
-98.68333,39.56667,United States
-51.23,-30.03306,Brazil
-101.38333,33.11667,United States
-103.3,41.23333,United States
-114.33046,34.68222,United States
-114.34572,34.7049,United States
-82.78333,38.66667,United States
-100.5,39.63333,United States
110.83333,-7.56667,Indonesia
125.46667,-30.46667,Australia
125.51333,-30.68833,Australia
79.5,53.7,Russia
-115.36667,35.66667,United States
121.76667,-29.35,Australia
-85.23333,38.56667,United States
-101.5,27.86667,Mexico
-106.85,34.4,United States
-66.66667,-28.88333,Argentina
-112.68333,29.9,Mexico
-69.91667,-27.15,Chile
162.3,-77.33333,
-98.05,29.5,United States
-83.25,33.25,United States
57.7291,21.37015,Oman
9.86638,33.24333,Tunisia
92.91667,43.75,China
25.58333,25.15,Egypt
-116.7,37.2,United States
-114.1958,33.68085,United States
3.62,30.28306,Algeria
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
162.45587,-84.60358,
163.75571,-84.41065,
163.67432,-84.41511,
162.25299,-84.59784,
162.33977,-84.59622,
162.32288,-84.59633,
162.78483,-84.59301,
162.14203,-84.6109,
162.30508,-84.59612,
162.33756,-84.5958,
162.2393,-84.59951,
162.40027,-84.5978,
162.34795,-84.59508,
162.17359,-84.60576,
162.61342,-84.58632,
162.61005,-84.58632,
162.61564,-84.586,
162.2245,-84.60076,
162.16708,-84.6067,
162.22791,-84.60051,
162.3199,-84.59503,
162.15388,-84.61017,
162.14566,-84.61116,
162.79943,-84.59192,
162.39579,-84.59651,
162.82712,-84.59487,
162.50348,-84.59969,
162.15894,-84.60579,
162.22281,-84.60102,
162.12224,-84.61429,
162.28531,-84.59617,
162.47924,-84.6021,
162.19455,-84.60353,
162.36918,-84.59566,
162.68497,-84.58079,
162.58633,-84.58059,
162.30082,-84.59412,
162.29838,-84.59484,
162.23965,-84.59343,
162.31057,-84.59515,
162.1441,-84.61391,
162.3055,-84.59515,
162.71511,-84.5903,
162.77784,-84.58294,
162.15636,-84.6055,
162.15934,-84.6082,
162.15071,-84.61073,
162.25892,-84.59304,
162.14565,-84.61019,
162.21336,-84.59805,
162.13971,-84.61084,
162.24953,-84.59325,
162.20923,-84.60108,
162.37287,-84.59642,
162.31384,-84.59528,
162.14785,-84.60994,
162.31331,-84.59512,
162.64559,-84.58227,
162.57254,-84.57484,
162.20704,-84.60292,
162.36067,-84.59479,
162.13861,-84.61147,
162.13404,-84.60981,
162.31879,-84.59496,
162.1444,-84.61149,
162.29153,-84.59633,
162.58007,-84.58572,
162.34674,-84.59482,
162.13296,-84.60617,
162.12054,-84.61457,
162.37192,-84.59388,
162.30026,-84.59482,
162.24965,-84.59359,
162.14461,-84.6097,
162.13008,-84.61234,
162.37477,-84.595,
162.29631,-84.59434,
162.13272,-84.61188,
162.07548,-84.6101,
162.76926,-84.59534,
162.43539,-84.60273,
162.13882,-84.60621,
162.29559,-84.59666,
162.13068,-84.61131,
162.7736,-84.58308,
162.77217,-84.58338,
162.77051,-84.58356,
162.7736,-84.58308,
162.1382,-84.61283,
162.23253,-84.61702,
162.56758,-84.5756,
162.14832,-84.6046,
162.02102,-84.623,
162.56943,-84.57594,
162.14133,-84.60512,
162.24734,-84.59071,
162.36978,-84.60873,
162.50513,-84.63092,
162.44741,-84.61597,
162.93682,-84.57534,
162.4923,-84.63018,
162.44194,-84.62384,
162.70072,-84.53526,
162.43054,-84.61914,
168.0,-84.0,
168.0,-84.0,
161.91357,-84.61638,
162.05494,-84.62303,
162.96276,-84.57836,
168.0,-84.0,
162.50492,-84.63053,
162.50537,-84.62928,
162.50212,-84.63051,
162.5054,-84.63074,
162.08628,-84.57278,
162.25099,-84.61776,
162.38976,-84.61319,
162.00223,-84.6278,
162.09097,-84.61784,
162.58584,-84.58735,
168.0,-84.0,
162.21405,-84.62247,
162.18222,-84.60554,
162.02753,-84.57728,
162.4001,-84.59713,
161.90451,-84.62372,
162.00225,-84.63031,
162.33737,-84.59408,
161.88734,-84.6137,
162.06569,-84.57659,
168.0,-84.0,
162.05506,-84.57865,
162.05441,-84.57868,
162.05423,-84.63054,
162.58899,-84.58294,
162.93706,-84.57526,
168.0,-84.0,
162.1394,-84.57208,
162.49708,-84.5737,
162.5492,-84.5881,
162.15262,-84.57148,
162.01677,-84.57837,
162.02273,-84.62176,
162.0759,-84.57573,
162.2344,-84.59856,
162.66547,-84.58117,
162.94855,-84.57613,
162.4929,-84.57392,
162.05567,-84.57748,
162.25684,-84.59191,
162.13155,-84.5736,
162.56991,-84.57798,
162.04932,-84.57548,
162.63725,-84.57965,
162.6139,-84.57936,
162.04256,-84.57806,
162.56573,-84.57651,
162.20035,-84.59891,
162.64819,-84.57952,
162.15345,-84.57146,
162.56331,-84.58208,
162.13528,-84.57295,
162.13852,-84.57261,
162.08099,-84.57709,
162.13581,-84.57179,
162.08755,-84.57583,
162.52838,-84.6303,
162.18347,-84.60295,
162.52648,-84.63018,
162.19633,-84.59971,
162.53202,-84.63066,
162.52583,-84.6305,
162.53213,-84.6307,
162.16783,-84.60303,
162.02096,-84.57232,
162.5255,-84.63075,
162.05413,-84.56827,
162.52676,-84.63017,
162.564,-84.57564,
162.56647,-84.57572,
162.5665,-84.57572,
162.56673,-84.57564,
162.56555,-84.57558,
162.56314,-84.57588,
162.5666,-84.57574,
162.56524,-84.5757,
162.56631,-84.5757,
162.52665,-84.63007,
162.56291,-84.57585,
162.048,-84.56904,
162.3617,-84.59133,
162.56578,-84.57566,
162.56677,-84.5757,
162.56253,-84.57578,
162.24966,-84.57366,
162.05386,-84.56761,
162.56685,-84.57569,
162.56586,-84.57559,
162.56414,-84.57563,
162.56674,-84.5757,
162.56196,-84.57584,
162.56742,-84.57568,
162.5346,-84.63091,
162.56315,-84.57586,
162.56664,-84.57563,
162.56709,-84.57571,
162.56256,-84.57597,
162.56921,-84.5758,
162.56739,-84.57569,
162.52652,-84.63005,
162.56576,-84.57558,
162.24799,-84.5721,
162.56449,-84.57592,
162.56411,-84.576,
162.56503,-84.57603,
162.567,-84.57576,
162.5685,-84.57596,
162.56602,-84.57575,
162.5666,-84.57606,
162.56669,-84.57603,
162.56174,-84.57621,
162.55816,-84.5757,
162.5666,-84.57587,
162.56773,-84.57587,
162.56572,-84.57577,
162.55904,-84.57602,
162.56528,-84.57583,
162.5674,-84.57595,
162.55758,-84.57828,
162.56734,-84.57585,
162.5601,-84.58211,
162.56931,-84.57583,
162.56377,-84.57609,
162.56893,-84.57586,
162.56831,-84.57586,
162.56681,-84.57584,
162.56574,-84.57578,
162.56633,-84.57577,
162.56666,-84.57607,
162.55632,-84.57832,
162.56671,-84.57581,
162.5628,-84.5761,
162.56521,-84.57587,
162.56763,-84.57624,
162.56592,-84.57575,
162.5639,-84.57608,
162.56165,-84.57607,
162.56828,-84.57589,
162.56937,-84.57591,
162.56935,-84.57584,
162.56654,-84.57606,
162.56637,-84.57586,
162.56832,-84.57589,
162.56677,-84.57607,
162.56826,-84.57586,
162.5674,-84.57587,
162.56821,-84.57583,
162.56349,-84.57605,
162.56415,-84.57598,
162.56438,-84.57607,
162.56739,-84.57555,
162.56264,-84.57596,
162.57218,-84.57552,
162.56789,-84.57597,
162.57144,-84.57552,
162.57222,-84.57543,
162.5685,-84.57587,
162.57204,-84.57542,
162.5627,-84.57601,
162.94324,-84.57535,
162.56781,-84.57572,
162.01818,-84.57305,
162.5698,-84.57571,
162.57008,-84.57557,
162.5708,-84.57552,
160.25552,-84.65575,
162.56794,-84.57573,
162.51383,-84.62955,
162.00567,-84.58051,
162.56772,-84.57571,
162.16768,-84.57114,
162.57501,-84.5761,
162.00382,-84.58098,
161.98386,-84.58026,
162.30936,-84.5935,
162.56909,-84.57576,
162.57308,-84.57586,
162.19291,-84.57011,
162.56772,-84.57571,
162.56889,-84.57565,
162.57082,-84.57585,
162.56869,-84.57574,
162.31608,-84.59202,
162.56969,-84.57553,
162.22766,-84.5922,
162.19582,-84.59915,
162.18259,-84.60208,
162.61514,-84.57937,
162.08713,-84.57566,
162.2316,-84.59225,
162.24624,-84.59105,
162.24766,-84.59117,
162.6269,-84.57946,
162.08097,-84.61636,
162.61829,-84.57932,
162.02145,-84.57209,
162.61801,-84.57926,
162.08476,-84.57641,
162.63182,-84.5796,
162.02634,-84.57891,
162.08208,-84.61277,
162.02893,-84.5792,
162.36782,-84.59443,
162.24813,-84.59097,
162.2489,-84.5909,
162.36462,-84.59384,
162.04503,-84.57777,
162.08778,-84.57479,
162.28567,-84.59349,
162.61533,-84.57949,
162.6263,-84.57937,
162.24576,-84.59107,
162.62089,-84.57966,
162.24622,-84.59104,
162.23345,-84.59171,
162.12264,-84.60625,
162.19833,-84.59914,
162.24027,-84.59475,
162.08275,-84.57091,
162.24816,-84.59107,
162.61502,-84.57949,
162.24718,-84.59243,
162.31037,-84.59658,
162.20598,-84.59784,
162.31231,-84.5933,
162.08097,-84.61583,
162.24846,-84.59144,
162.2402,-84.59153,
162.02662,-84.57795,
162.24186,-84.59132,
162.62671,-84.5794,
162.24581,-84.59105,
162.22847,-84.61548,
162.24177,-84.59139,
162.06641,-84.57236,
162.24174,-84.59139,
162.24823,-84.59101,
162.19327,-84.59983,
162.56225,-84.58047,
162.62756,-84.57951,
162.06762,-84.57362,
162.33742,-84.59277,
162.23514,-84.59234,
162.0846,-84.57659,
162.08015,-84.61552,
162.24312,-84.5913,
162.04531,-84.57771,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
162.21717,-84.59568,
162.61426,-84.57935,
162.18672,-84.60121,
162.18602,-84.6015,
162.08357,-84.57656,
162.04424,-84.57774,
162.18199,-84.60218,
162.05562,-84.57631,
162.61532,-84.57939,
162.16312,-84.60384,
162.49988,-84.57346,
162.54007,-84.58166,
162.17221,-84.6037,
162.53848,-84.58179,
162.12763,-84.6056,
162.49958,-84.57338,
162.24904,-84.59043,
162.03858,-84.57909,
162.02222,-84.57737,
162.50019,-84.57335,
162.18738,-84.59988,
162.07686,-84.6129,
162.49994,-84.57346,
162.61446,-84.57925,
162.12038,-84.60616,
162.12722,-84.60555,
162.24087,-84.5914,
162.11311,-84.60638,
168.0,-84.0,
162.19588,-84.59921,
161.94465,-84.61441,
162.22824,-84.59222,
162.16723,-84.60357,
162.61452,-84.57926,
162.07043,-84.56532,
162.50008,-84.57335,
162.12833,-84.60551,
162.16963,-84.60362,
162.07798,-84.57628,
162.18785,-84.59994,
162.24605,-84.59088,
162.19579,-84.59914,
162.12374,-84.60596,
162.61377,-84.57932,
162.06089,-84.57707,
162.21143,-84.59694,
162.18497,-84.60038,
162.19599,-84.59918,
162.12327,-84.6058,
162.2473,-84.59071,
168.0,-84.0,
162.13295,-84.60512,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
161.94902,-84.61124,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
162.19487,-84.59924,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
168.0,-84.0,
